SNR	SPKR	DIGITS_SEQ	RULE	WER	CONF_INT	NUMS
SNR35db	man	seq5digits_100_files	loop	13.200	2.9670023983812346	500
SNR35db	man	seq5digits_100_files	ngram	30.800	4.046685699680666	500
SNR35db	woman	seq1digit_200_files	3digits	34.000	6.565268615982137	200
SNR35db	woman	seq1digit_200_files	5digits	35.500	6.6318563012176295	200
SNR35db	woman	seq1digit_200_files	loop	50.500	6.929299964642893	200
SNR35db	woman	seq1digit_200_files	ngram	55.000	6.8949111669404415	200
SNR35db	woman	seq3digits_100_files	3digits	2.000	1.584249138656333	300
SNR35db	woman	seq3digits_100_files	5digits	12.333	3.7208990049975825	300
SNR35db	woman	seq3digits_100_files	loop	19.000	4.439302647939201	300
SNR35db	woman	seq3digits_100_files	ngram	48.667	5.656021541454028	300
SNR35db	woman	seq5digits_100_files	3digits	40.600	4.304545556501871	500
SNR35db	woman	seq5digits_100_files	5digits	1.200	0.9544213912104024	500
SNR35db	woman	seq5digits_100_files	loop	14.000	3.041475431431265	500
SNR35db	woman	seq5digits_100_files	ngram	34.000	4.152240455464977	500
SNR35db	boy	seq1digit_200_files	3digits	69.000	6.40982932690099	200
SNR35db	boy	seq1digit_200_files	5digits	73.500	6.116566193543563	200
SNR35db	boy	seq1digit_200_files	loop	90.500	4.063751714856605	200
SNR35db	boy	seq1digit_200_files	ngram	97.500	2.1637814122503234	200
SNR35db	boy	seq3digits_100_files	3digits	12.667	3.7637565018730954	300
SNR35db	boy	seq3digits_100_files	5digits	35.667	5.420578484017366	300
SNR35db	boy	seq3digits_100_files	loop	46.000	5.639897871415759	300
SNR35db	boy	seq3digits_100_files	ngram	85.667	3.965251824881407	300
SNR35db	boy	seq5digits_100_files	3digits	44.000	4.35102341984044	500
SNR35db	boy	seq5digits_100_files	5digits	8.800	2.483189278327369	500
SNR35db	boy	seq5digits_100_files	loop	33.600	4.140232665925914	500
SNR35db	boy	seq5digits_100_files	ngram	79.200	3.557667262687729	500
SNR35db	girl	seq1digit_200_files	3digits	86.000	4.808994905383036	200
SNR35db	girl	seq1digit_200_files	5digits	154.000	(7.738898842681824e-16+12.638580933000348j)	200
SNR35db	girl	seq1digit_200_files	loop	101.000	(8.528695645352617e-17+1.3928416995480863j)	200
SNR35db	girl	seq1digit_200_files	ngram	106.500	(2.232818448340104e-16+3.646469251207253j)	200
SNR35db	girl	seq3digits_100_files	3digits	13.333	3.846681823779034	300
SNR35db	girl	seq3digits_100_files	5digits	36.667	5.453159034302227	300
SNR35db	girl	seq3digits_100_files	loop	44.333	5.621573754272493	300
SNR35db	girl	seq3digits_100_files	ngram	96.333	2.126857737929831	300
SNR35db	girl	seq5digits_100_files	3digits	47.600	4.377641461791955	500
SNR35db	girl	seq5digits_100_files	5digits	15.600	3.180567315432893	500
SNR35db	girl	seq5digits_100_files	loop	35.200	4.18629572199576	500
SNR35db	girl	seq5digits_100_files	ngram	91.000	2.508493731305701	500
